Código Dane del municipio [Ordenado por este campo] 	Nombre del departamento 	Nombre del municipio
52 - 418 	NARIÑO 	LOS ANDES
52 - 427 	NARIÑO 	MAGÜÍ
52 - 435 	NARIÑO 	MALLAMA
52 - 473 	NARIÑO 	MOSQUERA
52 - 480 	NARIÑO 	NARIÑO
52 - 490 	NARIÑO 	OLAYA HERRERA
52 - 506 	NARIÑO 	OSPINA
52 - 520 	NARIÑO 	FRANCISCO PIZARRO
52 - 540 	NARIÑO 	POLICARPA
52 - 560 	NARIÑO 	POTOSÍ
52 - 565 	NARIÑO 	PROVIDENCIA
52 - 573 	NARIÑO 	PUERRES
52 - 585 	NARIÑO 	PUPIALES
52 - 612 	NARIÑO 	RICAURTE
52 - 621 	NARIÑO 	ROBERTO PAYÁN
52 - 678 	NARIÑO 	SAMANIEGO
52 - 683 	NARIÑO 	SANDONÁ
52 - 685 	NARIÑO 	SAN BERNARDO
52 - 687 	NARIÑO 	SAN LORENZO
52 - 693 	NARIÑO 	SAN PABLO
52 - 694 	NARIÑO 	SAN PEDRO DE CARTAGO
52 - 696 	NARIÑO 	SANTA BÁRBARA
52 - 699 	NARIÑO 	SANTACRUZ
52 - 720 	NARIÑO 	SAPUYES
52 - 786 	NARIÑO 	TAMINANGO
52 - 788 	NARIÑO 	TANGUA
52 - 835 	NARIÑO 	SAN ANDRÉS DE TUMACO
52 - 838 	NARIÑO 	TÚQUERRES
52 - 885 	NARIÑO 	YACUANQUER
54 - 001 	NORTE SANTANDER 	CÚCUTA
54 - 003 	NORTE SANTANDER 	ÁBREGO
54 - 051 	NORTE SANTANDER 	ARBOLEDAS
54 - 099 	NORTE SANTANDER 	BOCHALEMA
54 - 109 	NORTE SANTANDER 	BUCARASICA
54 - 125 	NORTE SANTANDER 	CÁCOTA
54 - 128 	NORTE SANTANDER 	CÁCHIRA
54 - 172 	NORTE SANTANDER 	CHINÁCOTA
54 - 174 	NORTE SANTANDER 	CHITAGÁ
54 - 206 	NORTE SANTANDER 	CONVENCIÓN
54 - 223 	NORTE SANTANDER 	CUCUTILLA
54 - 239 	NORTE SANTANDER 	DURANIA
54 - 245 	NORTE SANTANDER 	EL CARMEN
54 - 250 	NORTE SANTANDER 	EL TARRA
54 - 261 	NORTE SANTANDER 	EL ZULIA
54 - 313 	NORTE SANTANDER 	GRAMALOTE
54 - 344 	NORTE SANTANDER 	HACARÍ
54 - 347 	NORTE SANTANDER 	HERRÁN
54 - 377 	NORTE SANTANDER 	LABATECA
54 - 385 	NORTE SANTANDER 	LA ESPERANZA
54 - 398 	NORTE SANTANDER 	LA PLAYA
54 - 405 	NORTE SANTANDER 	LOS PATIOS
54 - 418 	NORTE SANTANDER 	LOURDES
54 - 480 	NORTE SANTANDER 	MUTISCUA
54 - 498 	NORTE SANTANDER 	OCAÑA
54 - 518 	NORTE SANTANDER 	PAMPLONA
54 - 520 	NORTE SANTANDER 	PAMPLONITA
54 - 553 	NORTE SANTANDER 	PUERTO SANTANDER
54 - 599 	NORTE SANTANDER 	RAGONVALIA
54 - 660 	NORTE SANTANDER 	SALAZAR
54 - 670 	NORTE SANTANDER 	SAN CALIXTO
54 - 673 	NORTE SANTANDER 	SAN CAYETANO
54 - 680 	NORTE SANTANDER 	SANTIAGO
54 - 720 	NORTE SANTANDER 	SARDINATA
54 - 743 	NORTE SANTANDER 	SILOS
54 - 800 	NORTE SANTANDER 	TEORAMA
54 - 810 	NORTE SANTANDER 	TIBÚ
54 - 820 	NORTE SANTANDER 	TOLEDO
54 - 871 	NORTE SANTANDER 	VILLA CARO
54 - 874 	NORTE SANTANDER 	VILLA DEL ROSARIO
63 - 001 	QUINDIO 	ARMENIA
63 - 111 	QUINDIO 	BUENAVISTA
63 - 130 	QUINDIO 	CALARCÁ
63 - 190 	QUINDIO 	CIRCASIA
63 - 212 	QUINDIO 	CÓRDOBA
63 - 272 	QUINDIO 	FILANDIA
63 - 302 	QUINDIO 	GÉNOVA
63 - 401 	QUINDIO 	LA TEBAIDA
63 - 470 	QUINDIO 	MONTENEGRO
63 - 548 	QUINDIO 	PIJAO
63 - 594 	QUINDIO 	QUIMBAYA
63 - 690 	QUINDIO 	SALENTO
66 - 001 	RISARALDA 	PEREIRA
66 - 045 	RISARALDA 	APÍA
66 - 075 	RISARALDA 	BALBOA
66 - 088 	RISARALDA 	BELÉN DE UMBRÍA
66 - 170 	RISARALDA 	DOSQUEBRADAS
66 - 318 	RISARALDA 	GUÁTICA
66 - 383 	RISARALDA 	LA CELIA
66 - 400 	RISARALDA 	LA VIRGINIA
66 - 440 	RISARALDA 	MARSELLA
66 - 456 	RISARALDA 	MISTRATÓ
66 - 572 	RISARALDA 	PUEBLO RICO
66 - 594 	RISARALDA 	QUINCHÍA
66 - 682 	RISARALDA 	SANTA ROSA DE CABAL
66 - 687 	RISARALDA 	SANTUARIO
68 - 001 	SANTANDER 	BUCARAMANGA
68 - 013 	SANTANDER 	AGUADA
68 - 020 	SANTANDER 	ALBANIA
68 - 051 	SANTANDER 	ARATOCA
68 - 077 	SANTANDER 	BARBOSA
68 - 079 	SANTANDER 	BARICHARA
68 - 081 	SANTANDER 	BARRANCABERMEJA
68 - 092 	SANTANDER 	BETULIA
68 - 101 	SANTANDER 	BOLÍVAR
68 - 121 	SANTANDER 	CABRERA
68 - 132 	SANTANDER 	CALIFORNIA
68 - 147 	SANTANDER 	CAPITANEJO
68 - 152 	SANTANDER 	CARCASÍ
68 - 160 	SANTANDER 	CEPITÁ
68 - 162 	SANTANDER 	CERRITO
68 - 167 	SANTANDER 	CHARALÁ
68 - 169 	SANTANDER 	CHARTA
68 - 176 	SANTANDER 	CHIMA
68 - 179 	SANTANDER 	CHIPATÁ
68 - 190 	SANTANDER 	CIMITARRA
68 - 207 	SANTANDER 	CONCEPCIÓN
68 - 209 	SANTANDER 	CONFINES
68 - 211 	SANTANDER 	CONTRATACIÓN
68 - 217 	SANTANDER 	COROMORO
68 - 229 	SANTANDER 	CURITÍ
68 - 235 	SANTANDER 	EL CARMEN DE CHUCURÍ
68 - 245 	SANTANDER 	EL GUACAMAYO
68 - 250 	SANTANDER 	EL PEÑÓN
68 - 255 	SANTANDER 	EL PLAYÓN
68 - 264 	SANTANDER 	ENCINO
68 - 266 	SANTANDER 	ENCISO
68 - 271 	SANTANDER 	FLORIÁN
68 - 276 	SANTANDER 	FLORIDABLANCA
68 - 296 	SANTANDER 	GALÁN
68 - 298 	SANTANDER 	GÁMBITA
68 - 307 	SANTANDER 	GIRÓN
68 - 318 	SANTANDER 	GUACA
68 - 320 	SANTANDER 	GUADALUPE
68 - 322 	SANTANDER 	GUAPOTÁ
68 - 324 	SANTANDER 	GUAVATÁ
68 - 327 	SANTANDER 	GÜEPSA
68 - 344 	SANTANDER 	HATO
68 - 368 	SANTANDER 	JESÚS MARÍA
68 - 370 	SANTANDER 	JORDÁN
68 - 377 	SANTANDER 	LA BELLEZA
68 - 385 	SANTANDER 	LANDÁZURI
68 - 397 	SANTANDER 	LA PAZ
68 - 406 	SANTANDER 	LEBRIJA
68 - 418 	SANTANDER 	LOS SANTOS
68 - 425 	SANTANDER 	MACARAVITA
68 - 432 	SANTANDER 	MÁLAGA
68 - 444 	SANTANDER 	MATANZA
68 - 464 	SANTANDER 	MOGOTES
68 - 468 	SANTANDER 	MOLAGAVITA
68 - 498 	SANTANDER 	OCAMONTE
68 - 500 	SANTANDER 	OIBA
68 - 502 	SANTANDER 	ONZAGA
68 - 522 	SANTANDER 	PALMAR
68 - 524 	SANTANDER 	PALMAS DEL SOCORRO
68 - 533 	SANTANDER 	PÁRAMO
68 - 547 	SANTANDER 	PIEDECUESTA
68 - 549 	SANTANDER 	PINCHOTE
68 - 572 	SANTANDER 	PUENTE NACIONAL
68 - 573 	SANTANDER 	PUERTO PARRA
68 - 575 	SANTANDER 	PUERTO WILCHES
68 - 615 	SANTANDER 	RIONEGRO
68 - 655 	SANTANDER 	SABANA DE TORRES
68 - 669 	SANTANDER 	SAN ANDRÉS
68 - 673 	SANTANDER 	SAN BENITO
68 - 679 	SANTANDER 	SAN GIL
68 - 682 	SANTANDER 	SAN JOAQUÍN
68 - 684 	SANTANDER 	SAN JOSÉ DE MIRANDA
68 - 686 	SANTANDER 	SAN MIGUEL
68 - 689 	SANTANDER 	SAN VICENTE DE CHUCURÍ
68 - 705 	SANTANDER 	SANTA BÁRBARA
68 - 720 	SANTANDER 	SANTA HELENA DEL OPÓN
68 - 745 	SANTANDER 	SIMACOTA
68 - 755 	SANTANDER 	SOCORRO
68 - 770 	SANTANDER 	SUAITA
68 - 773 	SANTANDER 	SUCRE
68 - 780 	SANTANDER 	SURATÁ
68 - 820 	SANTANDER 	TONA
68 - 855 	SANTANDER 	VALLE DE SAN JOSÉ
68 - 861 	SANTANDER 	VÉLEZ
68 - 867 	SANTANDER 	VETAS
68 - 872 	SANTANDER 	VILLANUEVA
68 - 895 	SANTANDER 	ZAPATOCA
70 - 001 	SUCRE 	SINCELEJO
70 - 110 	SUCRE 	BUENAVISTA
70 - 124 	SUCRE 	CAIMITO
70 - 204 	SUCRE 	COLOSO
70 - 215 	SUCRE 	COROZAL
70 - 221 	SUCRE 	COVEÑAS
70 - 230 	SUCRE 	CHALÁN
70 - 233 	SUCRE 	EL ROBLE
70 - 235 	SUCRE 	GALERAS
70 - 265 	SUCRE 	GUARANDA
70 - 400 	SUCRE 	LA UNIÓN
70 - 418 	SUCRE 	LOS PALMITOS
70 - 429 	SUCRE 	MAJAGUAL
70 - 473 	SUCRE 	MORROA
70 - 508 	SUCRE 	OVEJAS
70 - 523 	SUCRE 	PALMITO
70 - 670 	SUCRE 	SAMPUÉS
70 - 678 	SUCRE 	SAN BENITO ABAD
70 - 702 	SUCRE 	SAN JUAN DE BETULIA
70 - 708 	SUCRE 	SAN MARCOS
70 - 713 	SUCRE 	SAN ONOFRE
70 - 717 	SUCRE 	SAN PEDRO
70 - 742 	SUCRE 	SAN LUIS DE SINCÉ
70 - 771 	SUCRE 	SUCRE
70 - 820 	SUCRE 	SANTIAGO DE TOLÚ
70 - 823 	SUCRE 	TOLÚ VIEJO
73 - 001 	TOLIMA 	IBAGUÉ
73 - 024 	TOLIMA 	ALPUJARRA
73 - 026 	TOLIMA 	ALVARADO
73 - 030 	TOLIMA 	AMBALEMA
73 - 043 	TOLIMA 	ANZOÁTEGUI
73 - 055 	TOLIMA 	ARMERO GUAYABAL
73 - 067 	TOLIMA 	ATACO
73 - 124 	TOLIMA 	CAJAMARCA
73 - 148 	TOLIMA 	CARMEN DE APICALÁ
73 - 152 	TOLIMA 	CASABIANCA
73 - 168 	TOLIMA 	CHAPARRAL
73 - 200 	TOLIMA 	COELLO
73 - 217 	TOLIMA 	COYAIMA
73 - 226 	TOLIMA 	CUNDAY
73 - 236 	TOLIMA 	DOLORES
73 - 268 	TOLIMA 	ESPINAL
73 - 270 	TOLIMA 	FALAN
73 - 275 	TOLIMA 	FLANDES
73 - 283 	TOLIMA 	FRESNO
73 - 319 	TOLIMA 	GUAMO
73 - 347 	TOLIMA 	HERVEO
73 - 349 	TOLIMA 	HONDA
73 - 352 	TOLIMA 	ICONONZO
73 - 408 	TOLIMA 	LÉRIDA
73 - 411 	TOLIMA 	LÍBANO
73 - 443 	TOLIMA 	SAN SEBASTIÁN DE MARIQUITA
73 - 449 	TOLIMA 	MELGAR
73 - 461 	TOLIMA 	MURILLO
73 - 483 	TOLIMA 	NATAGAIMA
73 - 504 	TOLIMA 	ORTEGA
73 - 520 	TOLIMA 	PALOCABILDO
73 - 547 	TOLIMA 	PIEDRAS
73 - 555 	TOLIMA 	PLANADAS
73 - 563 	TOLIMA 	PRADO
73 - 585 	TOLIMA 	PURIFICACIÓN
73 - 616 	TOLIMA 	RIOBLANCO
73 - 622 	TOLIMA 	RONCESVALLES
73 - 624 	TOLIMA 	ROVIRA
73 - 671 	TOLIMA 	SALDAÑA
73 - 675 	TOLIMA 	SAN ANTONIO
73 - 678 	TOLIMA 	SAN LUIS
73 - 686 	TOLIMA 	SANTA ISABEL
73 - 770 	TOLIMA 	SUÁREZ
73 - 854 	TOLIMA 	VALLE DE SAN JUAN
73 - 861 	TOLIMA 	VENADILLO
73 - 870 	TOLIMA 	VILLAHERMOSA
73 - 873 	TOLIMA 	VILLARRICA
76 - 001 	VALLE 	CALI
76 - 020 	VALLE 	ALCALÁ
76 - 036 	VALLE 	ANDALUCÍA
76 - 041 	VALLE 	ANSERMANUEVO
76 - 054 	VALLE 	ARGELIA
76 - 100 	VALLE 	BOLÍVAR
76 - 109 	VALLE 	BUENAVENTURA
76 - 111 	VALLE 	GUADALAJARA DE BUGA
76 - 113 	VALLE 	BUGALAGRANDE
76 - 122 	VALLE 	CAICEDONIA
76 - 126 	VALLE 	CALIMA
76 - 130 	VALLE 	CANDELARIA
76 - 147 	VALLE 	CARTAGO
76 - 233 	VALLE 	DAGUA
76 - 243 	VALLE 	EL ÁGUILA
76 - 246 	VALLE 	EL CAIRO
76 - 248 	VALLE 	EL CERRITO
76 - 250 	VALLE 	EL DOVIO
76 - 275 	VALLE 	FLORIDA
76 - 306 	VALLE 	GINEBRA
76 - 318 	VALLE 	GUACARÍ
76 - 364 	VALLE 	JAMUNDÍ
76 - 377 	VALLE 	LA CUMBRE
76 - 400 	VALLE 	LA UNIÓN
76 - 403 	VALLE 	LA VICTORIA
76 - 497 	VALLE 	OBANDO
76 - 520 	VALLE 	PALMIRA
76 - 563 	VALLE 	PRADERA
76 - 606 	VALLE 	RESTREPO
76 - 616 	VALLE 	RIOFRÍO
76 - 622 	VALLE 	ROLDANILLO
76 - 670 	VALLE 	SAN PEDRO
76 - 736 	VALLE 	SEVILLA
76 - 823 	VALLE 	TORO
76 - 828 	VALLE 	TRUJILLO
76 - 834 	VALLE 	TULUÁ
76 - 845 	VALLE 	ULLOA
76 - 863 	VALLE 	VERSALLES
76 - 869 	VALLE 	VIJES
76 - 890 	VALLE 	YOTOCO
76 - 892 	VALLE 	YUMBO
76 - 895 	VALLE 	ZARZAL
81 - 001 	ARAUCA 	ARAUCA
81 - 065 	ARAUCA 	ARAUQUITA
81 - 220 	ARAUCA 	CRAVO NORTE
81 - 300 	ARAUCA 	FORTUL
81 - 591 	ARAUCA 	PUERTO RONDÓN
81 - 736 	ARAUCA 	SARAVENA
81 - 794 	ARAUCA 	TAME
85 - 001 	CASANARE 	YOPAL
85 - 010 	CASANARE 	AGUAZUL
85 - 015 	CASANARE 	CHÁMEZA
85 - 125 	CASANARE 	HATO COROZAL
85 - 136 	CASANARE 	LA SALINA
85 - 139 	CASANARE 	MANÍ
85 - 162 	CASANARE 	MONTERREY
85 - 225 	CASANARE 	NUNCHÍA
85 - 230 	CASANARE 	OROCUÉ
85 - 250 	CASANARE 	PAZ DE ARIPORO
85 - 263 	CASANARE 	PORE
85 - 279 	CASANARE 	RECETOR
85 - 300 	CASANARE 	SABANALARGA
85 - 315 	CASANARE 	SÁCAMA
85 - 325 	CASANARE 	SAN LUIS DE PALENQUE
85 - 400 	CASANARE 	TÁMARA
85 - 410 	CASANARE 	TAURAMENA
85 - 430 	CASANARE 	TRINIDAD
85 - 440 	CASANARE 	VILLANUEVA
86 - 001 	PUTUMAYO 	MOCOA
86 - 219 	PUTUMAYO 	COLÓN
86 - 320 	PUTUMAYO 	ORITO
86 - 568 	PUTUMAYO 	PUERTO ASÍS
86 - 569 	PUTUMAYO 	PUERTO CAICEDO
86 - 571 	PUTUMAYO 	PUERTO GUZMÁN
86 - 573 	PUTUMAYO 	PUERTO LEGUÍZAMO
86 - 749 	PUTUMAYO 	SIBUNDOY
86 - 755 	PUTUMAYO 	SAN FRANCISCO
86 - 757 	PUTUMAYO 	SAN MIGUEL
86 - 760 	PUTUMAYO 	SANTIAGO
86 - 865 	PUTUMAYO 	VALLE DEL GUAMUEZ
86 - 885 	PUTUMAYO 	VILLAGARZÓN
88 - 001 	SAN ANDRES 	SAN ANDRÉS
88 - 564 	SAN ANDRES 	PROVIDENCIA
91 - 001 	AMAZONAS 	LETICIA
91 - 263 	AMAZONAS 	EL ENCANTO
91 - 405 	AMAZONAS 	LA CHORRERA
91 - 407 	AMAZONAS 	LA PEDRERA
91 - 430 	AMAZONAS 	LA VICTORIA
91 - 460 	AMAZONAS 	MIRITÍ - PARANÁ
91 - 530 	AMAZONAS 	PUERTO ALEGRÍA
91 - 536 	AMAZONAS 	PUERTO ARICA
91 - 540 	AMAZONAS 	PUERTO NARIÑO
91 - 669 	AMAZONAS 	PUERTO SANTANDER
91 - 798 	AMAZONAS 	TARAPACÁ
94 - 001 	GUAINIA 	INÍRIDA
94 - 343 	GUAINIA 	BARRANCO MINAS
94 - 663 	GUAINIA 	MAPIRIPANA
94 - 883 	GUAINIA 	SAN FELIPE
94 - 884 	GUAINIA 	PUERTO COLOMBIA
94 - 885 	GUAINIA 	LA GUADALUPE
94 - 886 	GUAINIA 	CACAHUAL
94 - 887 	GUAINIA 	PANA PANA
94 - 888 	GUAINIA 	MORICHAL
95 - 001 	GUAVIARE 	SAN JOSÉ DEL GUAVIARE
95 - 015 	GUAVIARE 	CALAMAR
95 - 025 	GUAVIARE 	EL RETORNO
95 - 200 	GUAVIARE 	MIRAFLORES
97 - 001 	VAUPES 	MITÚ
97 - 161 	VAUPES 	CARURÚ
97 - 511 	VAUPES 	PACOA
97 - 666 	VAUPES 	TARAIRA
97 - 777 	VAUPES 	PAPUNAUA
97 - 889 	VAUPES 	YAVARATÉ
99 - 001 	VICHADA 	PUERTO CARREÑO
99 - 524 	VICHADA 	LA PRIMAVERA
99 - 624 	VICHADA 	SANTA ROSALÍA
99 - 773 	VICHADA 	CUMARIBO 